NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-24,,,,,0.38,2.0,95.0,47.0,28.0,30.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-25,,,,,0.0,0.0,94.0,44.0,30.0,36.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-26,,,,,0.0,0.0,92.0,48.0,33.0,34.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-27,,,,,0.0,0.0,,54.0,30.0,32.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-28,,,,,0.0,0.0,,58.0,32.0,39.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-29,,,,,0.0,1.0,,60.0,36.0,40.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-30,,,,,0.19,0.0,,56.0,32.0,33.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-01,,,,,0.21,0.0,82.0,40.0,31.0,36.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-02,,,,,0.0,0.0,81.0,47.0,31.0,35.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-03,,,,,0.0,0.0,80.0,52.0,35.0,37.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-04,,,,,0.0,0.0,78.0,57.0,34.0,37.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-05,,,,,0.0,0.0,75.0,57.0,35.0,38.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-06,,,,,0.17,0.0,73.0,54.0,38.0,41.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-07,,,,,0.16,0.0,70.0,57.0,33.0,36.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-08,,,,,0.03,0.0,68.0,54.0,32.0,36.0,,1.0,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-09,,,,,0.32,0.0,68.0,51.0,32.0,36.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-10,,,,,0.98,8.0,74.0,37.0,25.0,27.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-11,,,,,0.56,4.0,73.0,33.0,24.0,25.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-12,,,,,0.62,9.0,78.0,38.0,23.0,27.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-13,,,,,0.19,2.0,76.0,32.0,21.0,26.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-14,,,,,0.0,0.0,73.0,46.0,23.0,29.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-15,,,,,0.21,0.0,69.0,47.0,23.0,33.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-16,,,,,0.0,0.0,68.0,48.0,29.0,29.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-17,,,,,0.73,7.0,72.0,44.0,23.0,25.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-18,,,,,0.52,4.0,71.0,34.0,25.0,32.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-19,,,,,0.0,0.0,69.0,48.0,33.0,36.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-20,,,,,0.0,0.0,67.0,55.0,37.0,41.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-21,,,,,0.0,0.0,60.0,66.0,41.0,47.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-22,,,,,0.0,0.0,58.0,63.0,37.0,40.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-23,,,,,0.04,0.0,58.0,47.0,26.0,30.0,,1.0,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-24,,,,,0.43,1.0,57.0,47.0,26.0,30.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-25,,,,,0.35,3.0,58.0,34.0,20.0,23.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-26,,,,,0.37,4.0,59.0,32.0,23.0,27.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-27,,,,,0.0,0.0,57.0,46.0,25.0,35.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-28,,,,,0.0,0.0,54.0,52.0,26.0,35.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-05-29,,,,,0.32,2.0,53.0,50.0,29.0,32.0,,1.0,,,,
